x,y,orth.reg.n.observations,orth.reg.slope,orth.reg.intercept,orth.reg.ssq,orth.reg.mse,orth.reg.r.squared,deming.reg.slope,deming.reg.slope.lower.ci,deming.reg.slope.upper.ci,deming.reg.intercept,deming.reg.intercept.lower.ci,deming.reg.intercept.upper.ci,reg.n.observations,reg.slope,reg.intercept,reg.r.squared,reg.r.pearson,reg.r.pvalue,reg.df
NEMATODE:EC50:2:Growth,NEMATODE_COPAS1:AC50:NA:Growth,9,24.3454755918769,-40.2197423481733,1.99080857065104,131.32748799234,0.768533118485181,24.3454695098442,-247.997019765959,296.687958785648,-40.2197320040761,-492.174831003232,411.735366995079,9,0.269,0.728,0.01,0.098,0.802,7
NEMATODE:EC50:2:Growth,RAT_EMPIRICAL:LD50:NA:Mortality,9,13.502959394562,-18.6689888641367,2.21550825945378,45.1298816835476,0.708894515159438,13.502964521264,-243.88433727379,270.890266316318,-18.6689968630464,-409.025058283492,371.687064557399,9,0.349,1.854,0.021,0.146,0.707,7
NEMATODE:EC50:2:Growth,INVERT:NOEC:21:Reproduction,5,-3.5306189287526,2.06075187676549,0.53544356732741,1.44197844291421,0.805656573673609,-3.53062703888301,-89.778407374615,82.717153296849,2.06076179941369,-87.5330804211737,91.6546040200011,5,-1.345,-0.613,0.337,-0.581,0.305,3
NEMATODE:EC50:2:Growth,INVERT:EC50:2:Intoxication,10,-137.777298842648,215.391392888441,2.3699286390501,4498.97395744198,0.761099492308456,-137.777228402969,-963.976799908359,688.42234310242,215.39128227622,-1078.52321949007,1509.30578404251,10,-0.046,-0.889,0,-0.017,0.963,8
NEMATODE:EC50:2:Growth,INVERT:EC50:1:Intoxication,6,-4.16690937628497,4.91605525549774,1.05276619701645,3.22201441391208,0.728696632337554,-4.16689025825265,-13.4349284184305,5.10114790192522,4.91602706669306,-7.28602101737611,17.1180751507622,6,-0.943,0.163,0.189,-0.435,0.389,4
NEMATODE:EC50:2:Growth,INVERT:LC50:2:Mortality,11,-17.7115274215969,25.2679343963992,2.80572802212277,80.2688698517263,0.354365911346025,-17.7115335313395,-258.907063182104,223.483996119425,25.2679433343772,-315.754449070367,366.290335739122,11,-0.062,-0.552,0.002,-0.043,0.901,9
NEMATODE:EC50:2:Growth,FISH:LC50:3:Mortality,8,2.16200842839149,-2.77584517266315,1.75486969740311,1.24470285081344,0.50922519415095,2.16200985737273,-4.0976884485431,8.42170816328856,-2.77584724231131,-12.3010054512064,6.74931096658381,8,0.579,-0.483,0.169,0.411,0.312,6
NEMATODE:EC50:2:Growth,FISH:LC50:2:Mortality,10,2.33792921419923,-3.02912745852877,2.44913651303775,1.58359036444015,0.321242272548808,2.33793549710168,-9.10907345543958,13.7849444496429,-3.02913659676804,-20.3045544219292,14.2462812283931,10,0.299,-0.063,0.057,0.238,0.507,8
NEMATODE:EC50:2:Growth,INVERT:LC50:4:Mortality,9,-1.53735281944945,1.48807318522406,2.26489862333088,0.8464312928273,0.163125269753664,-1.53736781765597,-9.71588154005852,6.64114590474658,1.48809476476332,-9.93652919669017,12.9127187262168,9,-0.16,-0.494,0.022,-0.149,0.701,7
NEMATODE:EC50:2:Growth,FISH:LC50:4:Mortality,12,4.03223000938036,-6.15243942759937,2.87674392198747,4.13744790232311,0.56607969970072,4.03224100080135,-9.45196566569142,17.5164476672941,-6.15245618086255,-27.7440675747498,15.4391552130247,12,0.53,-0.814,0.093,0.306,0.334,10
NEMATODE:EC50:2:Growth,INVERT:EC50:2:Immobilization: Change in the failure to respond or lack of movement after mechanical stimulation.,7,-19.2437939426723,27.9670887833137,1.83054396515765,97.1034549738854,0.751442381608374,-19.2438068802621,-541.22962922828,502.742015467756,27.9671087874134,-736.299973106216,792.234190681043,7,-0.308,-1.311,0.014,-0.117,0.802,5
